"Index","Predicted","Actual","Correct"
1,"2829133434","2829133434",TRUE
2,"2831223129","2831223129",TRUE
3,"283234628","283234628",TRUE
4,"282333112","282333112",TRUE
5,"282421334","282421334",TRUE
6,"2824666","2824666",TRUE
7,"293013430","293013430",TRUE
8,"2932223331","2932222831",FALSE
9,"293433628","293433628",TRUE
10,"291233432","291233432",TRUE
11,"29411313","29411313",TRUE
12,"294132433","294132433",TRUE
13,"2951233","2951233",TRUE
14,"3115323313","2915323313",FALSE
15,"292213329","292213329",TRUE
16,"2923266","2923266",TRUE
17,"30213331","30213331",TRUE
18,"304231313","304231313",TRUE
19,"3062421","3062421",TRUE
20,"301313529","301313529",TRUE
21,"302233306","302233326",FALSE
22,"3129283113","3129283112",FALSE
23,"3131242812","3131242812",TRUE
24,"31161528","31161528",TRUE
25,"3162329","3162329",TRUE
26,"3113231313","3113231313",TRUE
27,"3115291312","3115291212",FALSE
28,"322915234","322915234",TRUE
29,"322291332","322291332",TRUE
30,"3256313","3256322",FALSE
31,"325133430","325133430",TRUE
32,"3213303029","3213303029",TRUE
33,"32133153","32133153",TRUE
34,"321533623","321533623",TRUE
35,"322213242","322213242",TRUE
36,"3333312933","3333293433",FALSE
37,"332364","332364",TRUE
38,"3353433","3353433",TRUE
39,"33629135","33629135",TRUE
40,"3324282330","3324282330",TRUE
41,"342928529","342928529",TRUE
42,"3432343012","3432343012",TRUE
43,"34341623","34341623",TRUE
44,"341328156","341328156",TRUE
45,"342432295","342432295",TRUE
46,"13013213","13013213",TRUE
47,"1234135","1234135",TRUE
48,"12221313","12221313",TRUE
49,"1329133","1329133",TRUE
50,"14321315","14321315",TRUE
51,"1613034","1613034",TRUE
52,"113311222","113311222",TRUE
53,"1132315","1132315",TRUE
54,"230122312","23012212",FALSE
55,"2312134","23123134",FALSE
56,"233131329","233131334",FALSE
57,"23413342","23413342",TRUE
58,"213425","213425",TRUE
59,"233046","233046",TRUE
60,"23321530","23321530",TRUE
61,"24221313","24221312",FALSE
62,"26261","26261",TRUE
63,"3325213","3325213",TRUE
64,"33331131","33331131",TRUE
65,"32302932","32302932",TRUE
66,"332134","332134",TRUE
67,"3441531","3441531",TRUE
68,"312131334","31312334",FALSE
69,"31323315","31323315",TRUE
70,"433132330","433132330",TRUE
71,"443456","443456",TRUE
72,"528283413","528283413",TRUE
73,"528281313","52828113",FALSE
74,"5131522","5131522",TRUE
75,"515293428","515293428",TRUE
76,"62831335","628313333",FALSE
77,"62342913","6234291",FALSE
78,"64223324","6422524",FALSE
79,"61353431","61353431",TRUE
80,"624302929","624302929",TRUE
81,"122133115","122913115",FALSE
82,"13231564","126624",FALSE
83,"1212243113","1212243113",TRUE
84,"12134529","12134531",FALSE
85,"133013012","133013012",TRUE
86,"133122316","133122316",TRUE
87,"131132333","131122333",FALSE
88,"131221313","131221313",TRUE
89,"1336281","1336281",TRUE
90,"134292829","134292831",FALSE
91,"132431315","132431315",TRUE
92,"153163112","153163112",TRUE
93,"1532121234","1532121334",FALSE
94,"154302313","154302313",TRUE
95,"156221315","156221315",TRUE
96,"1524121315","1524123315",FALSE
97,"222843433","222843433",TRUE
98,"223224134","223224134",TRUE
99,"2222813","2222813",TRUE
100,"224253","224253",TRUE
101,"23413246","23412246",FALSE
102,"244222215","244223215",FALSE
103,"2424342830","2424342830",TRUE
104,"24246326","24246316",FALSE
